
[MarioAI] ~ Evaluation Results: Evaluation lasted: 4899 ms; Status: Loss; Mode: small;  Passed (Cells): 14;  Passed (Phys): 235; Time Spent: 4; Time Left: 195; Coins: 2; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 0; By Fire: 0; By Shell: 0; By Stomp: 0; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 9

[MarioAI] ~ Evaluation Results: Evaluation lasted: 44304 ms; Status: Loss; Mode: small;  Passed (Cells): 95;  Passed (Phys): 1529; Time Spent: 41; Time Left: 158; Coins: 32; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 10; By Fire: 0; By Shell: 0; By Stomp: 10; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 9

[MarioAI] ~ Evaluation Results: Evaluation lasted: 62691 ms; Status: Loss; Mode: small;  Passed (Cells): 95;  Passed (Phys): 1522; Time Spent: 58; Time Left: 141; Coins: 42; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 8; By Fire: 0; By Shell: 0; By Stomp: 8; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 9

[MarioAI] ~ Evaluation Results: Evaluation lasted: 6034 ms; Status: Loss; Mode: small;  Passed (Cells): 15;  Passed (Phys): 251; Time Spent: 5; Time Left: 194; Coins: 4; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 0; By Fire: 0; By Shell: 0; By Stomp: 0; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 9

[MarioAI] ~ Evaluation Results: Evaluation lasted: 18175 ms; Status: Loss; Mode: small;  Passed (Cells): 18;  Passed (Phys): 288; Time Spent: 17; Time Left: 182; Coins: 8; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 3; By Fire: 0; By Shell: 0; By Stomp: 3; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 9

[MarioAI] ~ Evaluation Results: Evaluation lasted: 18668 ms; Status: Loss; Mode: small;  Passed (Cells): 49;  Passed (Phys): 784; Time Spent: 17; Time Left: 182; Coins: 12; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 5; By Fire: 0; By Shell: 0; By Stomp: 5; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 9

[MarioAI] ~ Evaluation Results: Evaluation lasted: 5819 ms; Status: Loss; Mode: small;  Passed (Cells): 16;  Passed (Phys): 256; Time Spent: 5; Time Left: 194; Coins: 1; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 0; By Fire: 0; By Shell: 0; By Stomp: 0; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 9

[MarioAI] ~ Evaluation Results: Evaluation lasted: 62054 ms; Status: Loss; Mode: small;  Passed (Cells): 87;  Passed (Phys): 1396; Time Spent: 58; Time Left: 141; Coins: 32; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 10; By Fire: 0; By Shell: 0; By Stomp: 10; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 9

[MarioAI] ~ Evaluation Results: Evaluation lasted: 17250 ms; Status: Loss; Mode: small;  Passed (Cells): 45;  Passed (Phys): 730; Time Spent: 16; Time Left: 183; Coins: 13; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 1; By Fire: 0; By Shell: 0; By Stomp: 1; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 9

[MarioAI] ~ Evaluation Results: Evaluation lasted: 8234 ms; Status: Loss; Mode: small;  Passed (Cells): 18;  Passed (Phys): 291; Time Spent: 7; Time Left: 192; Coins: 3; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 1; By Fire: 0; By Shell: 0; By Stomp: 1; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 9

[MarioAI] ~ Evaluation Results: Evaluation lasted: 6672 ms; Status: Loss; Mode: small;  Passed (Cells): 14;  Passed (Phys): 235; Time Spent: 6; Time Left: 193; Coins: 2; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 0; By Fire: 0; By Shell: 0; By Stomp: 0; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 9

[MarioAI] ~ Evaluation Results: Evaluation lasted: 4898 ms; Status: Loss; Mode: small;  Passed (Cells): 17;  Passed (Phys): 282; Time Spent: 4; Time Left: 195; Coins: 2; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 0; By Fire: 0; By Shell: 0; By Stomp: 0; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 9

