
[MarioAI] ~ Evaluation Results: Evaluation lasted: 164998 ms; Status: Loss; Mode: Large;  Passed (Cells): 47;  Passed (Phys): 752; Time Spent: 200; Time Left: 0; Coins: 15; Hidden blocks: 0; Mushrooms: 1; Flowers: 0; Collisions: 0; kills: 2; By Fire: 0; By Shell: 0; By Stomp: 2; MEMO INFO: Reason of death: Time out!;  level: 8

[MarioAI] ~ Evaluation Results: Evaluation lasted: 13803 ms; Status: Loss; Mode: small;  Passed (Cells): 45;  Passed (Phys): 723; Time Spent: 16; Time Left: 183; Coins: 17; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 1; By Fire: 0; By Shell: 0; By Stomp: 1; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 8

[MarioAI] ~ Evaluation Results: Evaluation lasted: 164997 ms; Status: Loss; Mode: small;  Passed (Cells): 47;  Passed (Phys): 765; Time Spent: 200; Time Left: 0; Coins: 11; Hidden blocks: 0; Mushrooms: 1; Flowers: 0; Collisions: 1; kills: 4; By Fire: 0; By Shell: 0; By Stomp: 4; MEMO INFO: Reason of death: Time out!;  level: 8

[MarioAI] ~ Evaluation Results: Evaluation lasted: 165000 ms; Status: Loss; Mode: Large;  Passed (Cells): 99;  Passed (Phys): 1588; Time Spent: 200; Time Left: 0; Coins: 53; Hidden blocks: 0; Mushrooms: 1; Flowers: 0; Collisions: 0; kills: 7; By Fire: 0; By Shell: 0; By Stomp: 7; MEMO INFO: Reason of death: Time out!;  level: 8

[MarioAI] ~ Evaluation Results: Evaluation lasted: 53901 ms; Status: WIN!; Mode: small;  Passed (Cells): 256;  Passed (Phys): 4096; Time Spent: 65; Time Left: 134; Coins: 93; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 0; kills: 13; By Fire: 0; By Shell: 0; By Stomp: 13; MEMO INFO: WIN;  level: 8

[MarioAI] ~ Evaluation Results: Evaluation lasted: 8636 ms; Status: Loss; Mode: small;  Passed (Cells): 53;  Passed (Phys): 853; Time Spent: 10; Time Left: 189; Coins: 8; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 4; By Fire: 0; By Shell: 0; By Stomp: 4; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 9

[MarioAI] ~ Evaluation Results: Evaluation lasted: 3355 ms; Status: Loss; Mode: small;  Passed (Cells): 18;  Passed (Phys): 294; Time Spent: 4; Time Left: 195; Coins: 4; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 1; By Fire: 0; By Shell: 0; By Stomp: 1; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 9

[MarioAI] ~ Evaluation Results: Evaluation lasted: 38994 ms; Status: Loss; Mode: small;  Passed (Cells): 224;  Passed (Phys): 3586; Time Spent: 47; Time Left: 152; Coins: 72; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 10; By Fire: 0; By Shell: 0; By Stomp: 10; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 9

[MarioAI] ~ Evaluation Results: Evaluation lasted: 15237 ms; Status: Loss; Mode: small;  Passed (Cells): 78;  Passed (Phys): 1251; Time Spent: 18; Time Left: 181; Coins: 19; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 5; By Fire: 0; By Shell: 0; By Stomp: 5; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 9

