
[MarioAI] ~ Evaluation Results: Evaluation lasted: 45097 ms; Status: Loss; Mode: small;  Passed (Cells): 165;  Passed (Phys): 2652; Time Spent: 54; Time Left: 145; Coins: 70; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 8; By Fire: 0; By Shell: 0; By Stomp: 8; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 0

[MarioAI] ~ Evaluation Results: Evaluation lasted: 78979 ms; Status: Loss; Mode: small;  Passed (Cells): 212;  Passed (Phys): 3396; Time Spent: 95; Time Left: 104; Coins: 96; Hidden blocks: 0; Mushrooms: 1; Flowers: 0; Collisions: 2; kills: 14; By Fire: 0; By Shell: 0; By Stomp: 14; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 0

[MarioAI] ~ Evaluation Results: Evaluation lasted: 23208 ms; Status: Loss; Mode: small;  Passed (Cells): 71;  Passed (Phys): 1138; Time Spent: 28; Time Left: 171; Coins: 35; Hidden blocks: 0; Mushrooms: 1; Flowers: 0; Collisions: 2; kills: 4; By Fire: 0; By Shell: 0; By Stomp: 4; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 0

[MarioAI] ~ Evaluation Results: Evaluation lasted: 51645 ms; Status: Loss; Mode: small;  Passed (Cells): 170;  Passed (Phys): 2721; Time Spent: 62; Time Left: 137; Coins: 73; Hidden blocks: 0; Mushrooms: 1; Flowers: 0; Collisions: 2; kills: 13; By Fire: 0; By Shell: 0; By Stomp: 13; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 0

[MarioAI] ~ Evaluation Results: Evaluation lasted: 10556 ms; Status: Loss; Mode: small;  Passed (Cells): 37;  Passed (Phys): 602; Time Spent: 12; Time Left: 187; Coins: 13; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 1; By Fire: 0; By Shell: 0; By Stomp: 1; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 0

[MarioAI] ~ Evaluation Results: Evaluation lasted: 5170 ms; Status: Loss; Mode: small;  Passed (Cells): 22;  Passed (Phys): 357; Time Spent: 6; Time Left: 193; Coins: 0; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 0; By Fire: 0; By Shell: 0; By Stomp: 0; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 0

[MarioAI] ~ Evaluation Results: Evaluation lasted: 5664 ms; Status: Loss; Mode: small;  Passed (Cells): 20;  Passed (Phys): 333; Time Spent: 6; Time Left: 193; Coins: 0; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 0; By Fire: 0; By Shell: 0; By Stomp: 0; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 0

[MarioAI] ~ Evaluation Results: Evaluation lasted: 109229 ms; Status: WIN!; Mode: small;  Passed (Cells): 256;  Passed (Phys): 4096; Time Spent: 132; Time Left: 67; Coins: 85; Hidden blocks: 0; Mushrooms: 1; Flowers: 0; Collisions: 1; kills: 20; By Fire: 0; By Shell: 0; By Stomp: 20; MEMO INFO: WIN;  level: 0

[MarioAI] ~ Evaluation Results: Evaluation lasted: 39048 ms; Status: Loss; Mode: small;  Passed (Cells): 76;  Passed (Phys): 1226; Time Spent: 47; Time Left: 152; Coins: 31; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 7; By Fire: 0; By Shell: 0; By Stomp: 7; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 1

[MarioAI] ~ Evaluation Results: Evaluation lasted: 4067 ms; Status: Loss; Mode: small;  Passed (Cells): 15;  Passed (Phys): 251; Time Spent: 5; Time Left: 195; Coins: 0; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 1; By Fire: 0; By Shell: 0; By Stomp: 1; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 1

[MarioAI] ~ Evaluation Results: Evaluation lasted: 58463 ms; Status: Loss; Mode: small;  Passed (Cells): 74;  Passed (Phys): 1193; Time Spent: 70; Time Left: 129; Coins: 30; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 6; By Fire: 0; By Shell: 0; By Stomp: 6; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 1

[MarioAI] ~ Evaluation Results: Evaluation lasted: 60773 ms; Status: Loss; Mode: small;  Passed (Cells): 136;  Passed (Phys): 2181; Time Spent: 73; Time Left: 126; Coins: 43; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 15; By Fire: 0; By Shell: 0; By Stomp: 15; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 1

[MarioAI] ~ Evaluation Results: Evaluation lasted: 14354 ms; Status: Loss; Mode: small;  Passed (Cells): 39;  Passed (Phys): 630; Time Spent: 17; Time Left: 182; Coins: 10; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 3; By Fire: 0; By Shell: 0; By Stomp: 3; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 1

[MarioAI] ~ Evaluation Results: Evaluation lasted: 22165 ms; Status: Loss; Mode: small;  Passed (Cells): 74;  Passed (Phys): 1191; Time Spent: 26; Time Left: 173; Coins: 25; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 7; By Fire: 0; By Shell: 0; By Stomp: 7; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 1

[MarioAI] ~ Evaluation Results: Evaluation lasted: 164999 ms; Status: Loss; Mode: FIRE;  Passed (Cells): 215;  Passed (Phys): 3444; Time Spent: 200; Time Left: 0; Coins: 102; Hidden blocks: 0; Mushrooms: 2; Flowers: 1; Collisions: 0; kills: 29; By Fire: 6; By Shell: 0; By Stomp: 23; MEMO INFO: Reason of death: Time out!;  level: 1

[MarioAI] ~ Evaluation Results: Evaluation lasted: 18698 ms; Status: Loss; Mode: small;  Passed (Cells): 75;  Passed (Phys): 1214; Time Spent: 22; Time Left: 177; Coins: 26; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 7; By Fire: 0; By Shell: 0; By Stomp: 7; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 1

[MarioAI] ~ Evaluation Results: Evaluation lasted: 10720 ms; Status: Loss; Mode: small;  Passed (Cells): 40;  Passed (Phys): 653; Time Spent: 13; Time Left: 187; Coins: 15; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 3; By Fire: 0; By Shell: 0; By Stomp: 3; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 1

[MarioAI] ~ Evaluation Results: Evaluation lasted: 13801 ms; Status: Loss; Mode: small;  Passed (Cells): 43;  Passed (Phys): 699; Time Spent: 16; Time Left: 183; Coins: 14; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 3; By Fire: 0; By Shell: 0; By Stomp: 3; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 1

[MarioAI] ~ Evaluation Results: Evaluation lasted: 16058 ms; Status: Loss; Mode: small;  Passed (Cells): 57;  Passed (Phys): 912; Time Spent: 19; Time Left: 180; Coins: 27; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 3; By Fire: 0; By Shell: 0; By Stomp: 3; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 1

[MarioAI] ~ Evaluation Results: Evaluation lasted: 8633 ms; Status: Loss; Mode: small;  Passed (Cells): 34;  Passed (Phys): 550; Time Spent: 10; Time Left: 189; Coins: 12; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 0; By Fire: 0; By Shell: 0; By Stomp: 0; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 1

[MarioAI] ~ Evaluation Results: Evaluation lasted: 16554 ms; Status: Loss; Mode: small;  Passed (Cells): 57;  Passed (Phys): 923; Time Spent: 20; Time Left: 179; Coins: 19; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 3; By Fire: 0; By Shell: 0; By Stomp: 3; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 1

[MarioAI] ~ Evaluation Results: Evaluation lasted: 20290 ms; Status: Loss; Mode: small;  Passed (Cells): 76;  Passed (Phys): 1227; Time Spent: 24; Time Left: 175; Coins: 26; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 8; By Fire: 0; By Shell: 0; By Stomp: 8; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 1

[MarioAI] ~ Evaluation Results: Evaluation lasted: 4839 ms; Status: Loss; Mode: small;  Passed (Cells): 24;  Passed (Phys): 386; Time Spent: 5; Time Left: 194; Coins: 1; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 0; By Fire: 0; By Shell: 0; By Stomp: 0; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 1

[MarioAI] ~ Evaluation Results: Evaluation lasted: 11603 ms; Status: Loss; Mode: small;  Passed (Cells): 43;  Passed (Phys): 694; Time Spent: 14; Time Left: 185; Coins: 10; Hidden blocks: 0; Mushrooms: 0; Flowers: 0; Collisions: 1; kills: 4; By Fire: 0; By Shell: 0; By Stomp: 4; MEMO INFO: Reason of death: Collision with a creature [Goomba];  level: 1

